,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
0,-4.2446136,-4.274967,-4.305232,-4.3366632,-4.3694825,-4.4027214,-4.436807,-4.471375,-4.50557,-4.5383434
1,-7.053473,-7.0934863,-7.130355,-7.165216,-7.189906,-7.2526116,-7.3014607,-7.3434367,-7.3230515,-7.3804283
2,-7.478758,-7.522806,-7.5658684,-7.603853,-7.642189,-7.67665,-7.73085,-7.7773914,-7.8018837,-7.838157
3,-7.7423725,-7.7582245,-7.8357525,-7.875611,-7.9015326,-7.9541025,-8.024067,-8.069652,-8.193604,-8.226996
4,-7.918577,-7.9486823,-8.0014515,-7.987302,-8.130108,-8.149437,-8.206134,-8.269872,-8.416846,-8.446551
5,-8.029479,-8.048717,-8.112663,-8.181429,-8.281606,-8.299312,-8.335644,-8.359293,-8.418537,-8.441441
6,-8.148258,-8.172199,-8.268197,-8.267649,-8.316223,-8.336777,-8.392135,-8.42801,-8.464962,-8.483814
7,-8.255814,-8.284776,-8.300898,-8.293,-8.3348,-8.361524,-8.414996,-8.4411955,-8.446466,-8.471952
8,-8.33075,-8.352778,-8.236051,-8.220617,-8.267618,-8.286521,-8.347976,-8.383116,-8.377202,-8.38627
9,-8.416794,-8.433449,-8.2252035,-8.212857,-8.264201,-8.274677,-8.325911,-8.362108,-8.38801,-8.396393
10,-8.372442,-8.420817,-8.256532,-8.232215,-8.276164,-8.288119,-8.336237,-8.372349,-8.409968,-8.416548
11,-8.28364,-8.346989,-8.257634,-8.262598,-8.323918,-8.334423,-8.376089,-8.410324,-8.425405,-8.4390745
12,-8.114468,-8.165869,-8.155336,-8.220774,-8.273367,-8.288008,-8.352191,-8.371321,-8.376257,-8.409063
13,-7.9444213,-7.9969535,-8.057533,-8.096195,-8.152061,-8.172135,-8.204079,-8.234915,-8.3041725,-8.391384
14,-7.635622,-7.6798286,-7.743545,-7.795426,-7.8488083,-7.876171,-7.9025884,-7.9351826,-7.9601836,-8.026223
15,-7.160157,-7.192149,-7.276782,-7.2433734,-7.2797813,-7.306128,-7.3270326,-7.347818,-7.3754535,-7.4060283
16,-6.9465127,-6.9716516,-6.996279,-7.0317283,-7.066359,-7.085729,-7.1049347,-7.131809,-7.1508245,-7.179468
17,-6.7833867,-6.8067317,-6.831381,-6.864962,-6.8962526,-6.9192405,-6.9358506,-6.960649,-6.977645,-7.0050025
18,-6.6672525,-6.687101,-6.7065716,-6.736558,-6.764695,-6.7760496,-6.7954593,-6.818115,-6.831914,-6.8548646
