,0,1,2
20,"[-6.522089648982674, -6.541853595515877, -6.564441174259573, -6.592198874792248, -6.623483069231898, -6.644245913243085, -6.658061724146992, -6.68240586294809, -6.696709367437452, -6.723979397667736]","[-6.56140692049464, -6.58543847577473, -6.614026638509834, -6.647959950210655, -6.675792193802202, -6.694724877195561, -6.719867295416201, -6.734938656741882, -6.764055423269177, -6.786960353905464]","[-6.59176058908387, -6.622093849158128, -6.65934566435798, -6.68829311271592, -6.71271503557845, -6.743018208345612, -6.763164002722343, -6.793538037961563, -6.823694723000964, -6.729580866446932]"
21,"[-6.4523813553936575, -6.467273785438368, -6.4857210970334505, -6.504954070489833, -6.535361966755221, -6.534628897203578, -6.562895269362701, -6.572891007407082, -6.591015028996838, -6.610981292320861]","[-6.494436981302782, -6.520077847090645, -6.547021420818849, -6.582283241820617, -6.602499297035022, -6.6348009017827945, -6.661935202923699, -6.686244566139861, -6.714714542177601, -6.743233272952123]","[-6.523844471389482, -6.550279770234654, -6.586319826731512, -6.600346866251955, -6.633226487042436, -6.659776576982865, -6.682750734688768, -6.711830404775271, -6.740314065666923, -6.663746006043682]"
22,"[-6.41072079106782, -6.424411937925856, -6.443818509910147, -6.462942814785879, -6.491479250002544, -6.493999750452008, -6.5223855759071965, -6.5332362773883, -6.552098074095215, -6.574348471226062]","[-6.450285283004499, -6.477447235112644, -6.506062281405187, -6.540786282246566, -6.562574154784537, -6.596062219788886, -6.623085859318829, -6.64840953526423, -6.67967687649057, -6.71124540743754]","[-6.480779511003877, -6.509047304361249, -6.54450387608924, -6.562552305950905, -6.5961939572236785, -6.625753873109008, -6.646178263320709, -6.677708926691795, -6.707392283796454, -6.6449034820190915]"
23,"[-6.3911249944775275, -6.407433140075105, -6.4263003421782425, -6.447683881020444, -6.4772305106579235, -6.480644105218621, -6.508539140440794, -6.52003782543567, -6.539261958778175, -6.56119367595044]","[-6.432204247028355, -6.458872534842018, -6.488097450271968, -6.523388131097678, -6.546524454415564, -6.578036867589478, -6.6062828381962815, -6.631248062983874, -6.661781888962511, -6.692436032504562]","[-6.461590046539344, -6.489121709495224, -6.523992609708943, -6.54099897901658, -6.574016636713781, -6.598284941642918, -6.617831068589725, -6.6481695682847874, -6.677467538520135, -6.630146602644958]"
24,"[-6.390880931313897, -6.408034812804128, -6.4277890754452, -6.448164943750764, -6.475074261572028, -6.486010396066869, -6.515277530211772, -6.52732858541962, -6.548678911436165, -6.5725166100597034]","[-6.427249931596463, -6.453254629723971, -6.4803759631293465, -6.512336975761001, -6.536629416845982, -6.570430972479527, -6.597428480960672, -6.622620624356215, -6.653094001911824, -6.685343620233481]","[-6.459288163699823, -6.487847410731631, -6.519444060169774, -6.540990260087567, -6.575739183121043, -6.604393641122299, -6.624993982382732, -6.654214325018841, -6.6847978016665754, -6.655073050998765]"
25,"[-6.4019268620045615, -6.422632178220315, -6.444497043195529, -6.4679111949385835, -6.486805571171804, -6.5107559281619025, -6.542497122588916, -6.5587279684128, -6.581252576711936, -6.6042925845118]","[-6.4341990421006585, -6.459777960036149, -6.487480131391635, -6.513781310472837, -6.540962207544794, -6.5761995049605275, -6.608197465021362, -6.633033284399858, -6.661546881724348, -6.692605273280492]","[-6.465316279450473, -6.492674761110958, -6.51742303616744, -6.545773706058082, -6.581422350028571, -6.611400582486805, -6.632091763088521, -6.659464507022914, -6.685810769567308, -6.675540962846991]"
26,"[-6.403697945408486, -6.427427029468082, -6.450951563425325, -6.477154176913165, -6.498298404969238, -6.525289461247586, -6.559054665498398, -6.577857619382404, -6.604407718636058, -6.62975885742154]","[-6.433852112184791, -6.4594751003045126, -6.4860063458639665, -6.511069663133053, -6.538487212996511, -6.574365699927835, -6.606385650377302, -6.6331344361263795, -6.664149295802741, -6.694348536695866]","[-6.466727276885712, -6.493939410516822, -6.517545707145536, -6.545777931431139, -6.58207826278528, -6.612231587612832, -6.638453609863126, -6.668316024908626, -6.69718601330539, -6.6957650001568885]"
27,"[-6.4022254881105916, -6.421366804524471, -6.450822397380282, -6.478208960279037, -6.499367085530569, -6.527315938159038, -6.56273432938676, -6.579250033258607, -6.611527259706666, -6.638606648205926]","[-6.4268253902259405, -6.454119577101165, -6.486048347345286, -6.512566833785468, -6.540264888695174, -6.5775352707418735, -6.610162849566632, -6.640797778061324, -6.675852171173983, -6.709186091116362]","[-6.465690854042061, -6.496325627937205, -6.5200331109010055, -6.547564615532048, -6.5842964286350085, -6.6129503241174294, -6.639535625501759, -6.6734962882839515, -6.702028845473416, -6.715663314833529]"
28,"[-6.389950101045781, -6.414318323848659, -6.439845113797003, -6.467951214654261, -6.489722824437433, -6.516940141809994, -6.5504944946299135, -6.570600085673743, -6.59921654385131, -6.625764117358142]","[-6.415950382080977, -6.442496513900464, -6.471498042297666, -6.498723085922306, -6.525349620682304, -6.561332911205595, -6.595358326983755, -6.623531574335997, -6.657118571874802, -6.690491696772282]","[-6.446762709663594, -6.475554608525122, -6.501250029326761, -6.526368365408266, -6.562544633419598, -6.594401408703411, -6.619211229280913, -6.651605031238282, -6.68319100771972, -6.708127795503819]"
29,"[-6.364667045953305, -6.390248053776653, -6.416528632002504, -6.444289674120577, -6.468398799257906, -6.495928433793218, -6.530899950372608, -6.550583665328653, -6.580973106505902, -6.607679403456481]","[-6.388600281742458, -6.416436453652625, -6.44530739758635, -6.472924656537418, -6.500344700482731, -6.537336527672653, -6.572822726634388, -6.6002726641717, -6.635185689968114, -6.669247483206038]","[-6.42221320135751, -6.450617034866002, -6.478775762899306, -6.504598180709865, -6.540979745744255, -6.5764325549290445, -6.599887928871897, -6.634906711934593, -6.666874314604786, -6.69655679812887]"
30,"[-6.336559553831079, -6.363187573119261, -6.390545626371362, -6.4200010553144, -6.444044514759638, -6.472342753051975, -6.507777956514814, -6.531991590946176, -6.558495867266514, -6.585787316053369]","[-6.35962036520414, -6.387431976275369, -6.416951731668636, -6.444421938510462, -6.470533820690438, -6.507058436872288, -6.542583229841515, -6.5691788223402945, -6.598750586511418, -6.632754086406752]","[-6.391356557288286, -6.4206210893179145, -6.4486137588108745, -6.474462564715263, -6.510287191399452, -6.547358609416601, -6.575432561018583, -6.605287415587422, -6.63900587862086, -6.6713341266448465]"
31,"[-6.308174122741028, -6.3314517500452245, -6.361864122246906, -6.389843006303116, -6.414397335296079, -6.44297608794789, -6.477739062776371, -6.499751547967597, -6.530453341697856, -6.557791291420862]","[-6.3284693357682835, -6.356930289152921, -6.389172166321338, -6.416527421880425, -6.444637395176948, -6.48101275015241, -6.516623686734499, -6.545813275236548, -6.5798304692990195, -6.615267118174494]","[-6.365040822048206, -6.396822700370569, -6.423010315839667, -6.450594112370629, -6.486354045663495, -6.5213133954447695, -6.546973893512506, -6.581437552441377, -6.614960903395433, -6.646939566452522]"
32,"[-6.279249787515017, -6.307004673590871, -6.334910536369296, -6.3617224713768685, -6.389862680992099, -6.418157832881423, -6.452346766551944, -6.478757081737729, -6.505342355182382, -6.532200884258362]","[-6.302114608584749, -6.33059681475054, -6.358607790320026, -6.386250574960219, -6.415657703651893, -6.450388346685874, -6.484874185993182, -6.513019149078834, -6.540898882671105, -6.575158060415494]","[-6.3346330144290555, -6.362373900863968, -6.389604962695085, -6.418792735118114, -6.453789289373599, -6.489630307335101, -6.518270996663414, -6.548127972785078, -6.581145071688734, -6.616975502375208]"
33,"[-6.249770165753025, -6.276353256177563, -6.303671916347403, -6.3300223363157695, -6.356994896527786, -6.385045356449146, -6.418429843482036, -6.442937589582462, -6.471048332151431, -6.498724508431215]","[-6.271832511106917, -6.2998621373422825, -6.327324217463323, -6.354333861077615, -6.3830708044566595, -6.417420037368723, -6.451644942442366, -6.4794858566470825, -6.510188410336562, -6.544182112718412]","[-6.303563110923685, -6.330573073050298, -6.357619967704929, -6.386132328233041, -6.419921731969632, -6.454749765267886, -6.481228802746452, -6.512274353226937, -6.545767328163899, -6.5821181968062294]"
34,"[-6.220991836284191, -6.249225884099395, -6.2776179401026075, -6.306660698150188, -6.335733040590674, -6.366965982486398, -6.40370169224301, -6.430700159986407, -6.4591799801037615, -6.489523082394988]","[-6.239589345044954, -6.267298605627878, -6.294469489119513, -6.321342267430885, -6.348866397849782, -6.3831064797561, -6.420730835161669, -6.444716940037472, -6.474461030549867, -6.507996067739589]","[-6.268796573645862, -6.2957006350825155, -6.3225955323050345, -6.349577118895444, -6.382742029867562, -6.419136473230513, -6.445196585051211, -6.473393776706847, -6.50701620175639, -6.549391352824363]"
35,"[-6.185280022210644, -6.213076823390291, -6.239674790761636, -6.268845607525871, -6.295871776527927, -6.3266419349230985, -6.363632488063739, -6.386148021555708, -6.418186091817186, -6.451084149069355]","[-6.207065129310377, -6.232838559553511, -6.26015983115185, -6.286117206916697, -6.313517097041495, -6.3490178358112646, -6.371956206515915, -6.397973071441538, -6.4295008886908365, -6.461485165760405]","[-6.232773638786135, -6.2607794771803, -6.286432289974151, -6.314250882239399, -6.35027885389453, -6.373469193921743, -6.400756410778818, -6.433628454328833, -6.466528594018278, -6.525058038057146]"
36,"[-6.144240835486616, -6.1717033067631375, -6.197693444593514, -6.226810505418743, -6.252295926018323, -6.282913286043967, -6.318188741608227, -6.345085222079123, -6.3708819651889455, -6.4044801087963235]","[-6.167010191614271, -6.1922378202625525, -6.219486927399875, -6.243761827955486, -6.271775534162761, -6.3061132820048345, -6.3317956903674615, -6.356139741624237, -6.384390195617915, -6.418513914356471]","[-6.1886871027005075, -6.217034449632203, -6.240587279031908, -6.268017582426703, -6.302143540064728, -6.326818164269364, -6.349774665961897, -6.37873719243232, -6.4089958703321575, -6.480439375917351]"
37,"[-6.098395160733532, -6.1251024504739755, -6.149697465224933, -6.17958138078339, -6.203884217290949, -6.233231100587916, -6.268035545348, -6.2882319738704675, -6.318108455612134, -6.350854100062322]","[-6.119505168220702, -6.142548888272348, -6.169629040456119, -6.192794711610976, -6.217846085599366, -6.25015221284956, -6.269685424214902, -6.2942978975388435, -6.323694025448265, -6.353781004718247]","[-6.141992469760517, -6.170706344279388, -6.194491808745006, -6.220044837775568, -6.253483348968366, -6.272382409754137, -6.2968748039332425, -6.330539492401222, -6.361247635888795, -6.441429383563737]"
38,"[-6.044605174101252, -6.069552059284706, -6.093750626779456, -6.123171807266135, -6.146737364120145, -6.174216574988622, -6.204857717267532, -6.2299511348822305, -6.253869387320537, -6.284383582881946]","[-6.0696217175030265, -6.093970814665512, -6.12186653906639, -6.145378580262617, -6.171978063827113, -6.200477326234535, -6.225894220119074, -6.248897032757953, -6.277237141450599, -6.308656847050146]","[-6.090759643085042, -6.12031773171548, -6.14282017081205, -6.169691019423047, -6.199573713086287, -6.223133966989557, -6.246070534653703, -6.273253869928161, -6.3016277223003305, -6.389829930580894]"
39,"[-5.986914997208095, -6.011421843650914, -6.036548719960428, -6.066495816442347, -6.09013723324535, -6.116942190784193, -6.147991978782392, -6.171818227726198, -6.199298006701446, -6.228314223918296]","[-6.012914262234768, -6.037092726200423, -6.066716575517854, -6.090940061479411, -6.116760029911599, -6.14502912153264, -6.168810082122287, -6.1954252566095205, -6.224063127755723, -6.251055387302837]","[-6.036789805742775, -6.067109641733443, -6.090894633087193, -6.117271461638485, -6.147135458069717, -6.169795789870297, -6.196253304484164, -6.225462653788601, -6.2534364043947805, -6.343786622512018]"
40,"[-5.927557707030485, -5.951973749522279, -5.976879589457224, -6.0076433776059845, -6.031872807268212, -6.059143938321779, -6.092293258953998, -6.1123987643161515, -6.142435429815362, -6.170722641248415]","[-5.952902660750848, -5.975885766604048, -6.004167665773135, -6.028494429820281, -6.053454461553198, -6.082234204792481, -6.102032705255848, -6.127352326222759, -6.154685852163535, -6.184252998837334]","[-5.9798618547828815, -6.011794588735881, -6.036129177755298, -6.062639464831533, -6.093931877261581, -6.112792046016636, -6.1390482329042575, -6.167443386486354, -6.199321742376866, -6.295420411250176]"
41,"[-5.862783155443153, -5.88586932890304, -5.910887190179905, -5.9415911334026665, -5.96545873120614, -5.992422153281054, -6.018665726335725, -6.046277237163863, -6.071682819204411, -6.098346737252554]","[-5.891492650879538, -5.915410039050496, -5.944526792539275, -5.968826771749175, -5.994181166438377, -6.019925662351763, -6.046782062424338, -6.072058697266495, -6.097896707279599, -6.12904162056557]","[-5.917758205323212, -5.9476669760185406, -5.971145072369568, -5.996213884441845, -6.021711043431155, -6.046335361315601, -6.0709081398087665, -6.096516157849424, -6.126589958904974, -6.224500079988234]"
42,"[-5.79499956656117, -5.816862542814203, -5.841365213206597, -5.871096002569981, -5.894449495411106, -5.919533698520251, -5.943672620392032, -5.968113534784504, -5.99627135198433, -6.020806855222769]","[-5.823354931544735, -5.846386943008973, -5.875662248578145, -5.899951076131536, -5.924445794891788, -5.948763120915963, -5.973360840227677, -5.9993378799373644, -6.02461423910804, -6.050373865287973]","[-5.850503511835493, -5.88059724319414, -5.904238132868565, -5.928598238263882, -5.952509435002364, -5.978138774742044, -6.00517655174867, -6.026948647682227, -6.0533683152093065, -6.1529539750112665]"
43,"[-5.723856410125813, -5.745817957560143, -5.769673852364144, -5.79884342860671, -5.821863936374506, -5.847510209421238, -5.87123075139018, -5.899959497267923, -5.924682099486312, -5.949895933384618]","[-5.752445221564217, -5.775945559760971, -5.80425119647984, -5.828569625189943, -5.853338190040035, -5.877831675729198, -5.9049691675812435, -5.931471126771016, -5.955667328706427, -5.983939977979703]","[-5.777885905310233, -5.807164343848546, -5.82949726174744, -5.854505621671398, -5.877869832172712, -5.90507570359083, -5.928451456904133, -5.952341434389075, -5.978259042679985, -6.078662090778073]"
44,"[-5.65016382595153, -5.671540398500873, -5.694977553911521, -5.722716132529094, -5.745151099167778, -5.769397732220604, -5.792526228703572, -5.817275796435787, -5.843355369173004, -5.868614826701595]","[-5.677304227779444, -5.699505831057961, -5.726416480670507, -5.7490433258365945, -5.772649380321439, -5.794556253532703, -5.819242061058815, -5.843426820765074, -5.867585974688466, -5.895388579870398]","[-5.701375596664936, -5.728872072391302, -5.750672037221581, -5.774279002539903, -5.796583760969431, -5.821631731905133, -5.846585786409766, -5.868818123333246, -5.892733529649765, -5.992867753349334]"
45,"[-5.57540142221032, -5.59653237333177, -5.618892882593259, -5.644127101280078, -5.665624701060637, -5.689513298325523, -5.711411484159812, -5.737751303814634, -5.760084793545588, -5.784476088933929]","[-5.601239900123784, -5.622922697123596, -5.648365757447192, -5.670852771979281, -5.6938634263542385, -5.716515741330096, -5.7432106500682325, -5.7653264580485315, -5.790525316279838, -5.818166275527784]","[-5.623573223628537, -5.649545699857609, -5.670341423280971, -5.693945767857568, -5.715293624006645, -5.741183018811481, -5.761394758277075, -5.783757651724355, -5.808732850976722, -5.9081039713103936]"
46,"[-5.500436693729387, -5.520844370426165, -5.541923635007368, -5.566050742120968, -5.586689314173089, -5.610300077424871, -5.631143754647599, -5.657484853939639, -5.6792911424502, -5.703777863012181]","[-5.525834989700618, -5.547290884856286, -5.572695515085163, -5.594563704881969, -5.618039687130752, -5.639574116993847, -5.66527176365644, -5.687866655144992, -5.713280797902646, -5.738252419013682]","[-5.546307054909346, -5.570560423287032, -5.5908570583932375, -5.613779209183929, -5.634502516689179, -5.657781486960528, -5.678478698807237, -5.701665382462022, -5.72326112315285, -5.82139217630255]"
47,"[-5.426037554210986, -5.446155911824669, -5.46660706638452, -5.490015971056189, -5.510356966919269, -5.533693014225926, -5.554467516533102, -5.580950918189253, -5.602112357086505, -5.625914557418789]","[-5.450426659462073, -5.470973580059626, -5.495444307950356, -5.516613026064851, -5.539354448122003, -5.560701505196311, -5.5869550862433695, -5.608670012009361, -5.633139326152422, -5.655343484980085]","[-5.470783210366105, -5.49478862528417, -5.514617077081536, -5.537286981015538, -5.557788406505321, -5.582293271093701, -5.602393719374274, -5.6256061056694735, -5.647013145505523, -5.741703520535563]"
48,"[-5.352697184584869, -5.372683925829662, -5.393245335943831, -5.416211473099722, -5.437030900545253, -5.458490664414896, -5.479150632671846, -5.504076781026853, -5.5248269385619295, -5.548189884327186]","[-5.375869161491513, -5.396448728670597, -5.419826782350659, -5.4420371530998946, -5.46327596068871, -5.484187443782806, -5.510278445710659, -5.53179615460825, -5.555545036723137, -5.579453128432155]","[-5.396224548182727, -5.419567025340439, -5.440775665528418, -5.461564156300665, -5.481595332808138, -5.506775858885885, -5.524440859518291, -5.547536016515733, -5.5677491846301566, -5.653102126977683]"
