,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
47,-5.470548,-5.493273,-5.513302,-5.535182,-5.5556254,-5.5805573,-5.6016383,-5.6251326,-5.6449933,-5.737211
48,-5.396768,-5.420443,-5.4414854,-5.462223,-5.4828115,-5.5084877,-5.5275736,-5.5519304,-5.5757656,-5.660182
49,-5.322245,-5.3442225,-5.36484,-5.3843904,-5.4036613,-5.4238224,-5.445433,-5.467056,-5.4876275,-5.5641637
50,-5.248628,-5.2705994,-5.2906656,-5.3094144,-5.3282456,-5.348235,-5.3675094,-5.388739,-5.4093485,-5.476448
51,-5.174881,-5.1960897,-5.2156143,-5.234155,-5.2527413,-5.2753406,-5.293201,-5.3137164,-5.3336005,-5.393668
52,-5.101947,-5.1230326,-5.141591,-5.1594825,-5.177694,-5.2002707,-5.217803,-5.237636,-5.2574124,-5.3156366
53,-5.0299096,-5.0502777,-5.0688615,-5.086408,-5.104631,-5.1235056,-5.140918,-5.160383,-5.180638,-5.242603
54,-4.9580283,-4.9774375,-4.9950333,-5.011915,-5.029811,-5.0473695,-5.063885,-5.081965,-5.100586,-5.1697583
55,-4.885583,-4.9048786,-4.9216385,-4.938379,-4.9566474,-4.97412,-4.991271,-5.009184,-5.027392,-5.1029153
56,-4.81274,-4.830731,-4.8470654,-4.8630514,-4.8809304,-4.897645,-4.914699,-4.9318323,-4.948506,-5.029195
57,-4.741379,-4.7585115,-4.7740526,-4.789609,-4.8072505,-4.822939,-4.8395147,-4.857663,-4.8756313,-4.9588366
58,-4.6717806,-4.6895194,-4.704944,-4.71997,-4.737376,-4.7522674,-4.7684474,-4.784461,-4.800987,-4.8896384
59,-4.6028757,-4.6203556,-4.636275,-4.6515403,-4.668666,-4.682862,-4.6987762,-4.715539,-4.7336736,-4.822454
60,-4.533397,-4.5507693,-4.5673113,-4.5823574,-4.599549,-4.613562,-4.627863,-4.64221,-4.6580644,-4.7505264
61,-4.4616857,-4.4788055,-4.495034,-4.510185,-4.527188,-4.541992,-4.5543056,-4.569491,-4.585474,-4.6800714
62,-4.3872023,-4.403547,-4.4194493,-4.4340196,-4.4500985,-4.46271,-4.476676,-4.492516,-4.508923,-4.5991535
63,-4.3090887,-4.3243537,-4.3394504,-4.35348,-4.369964,-4.3833036,-4.3975067,-4.411392,-4.4263134,-4.510539
64,-4.229188,-4.243793,-4.258021,-4.271936,-4.288445,-4.3022447,-4.317782,-4.33319,-4.347903,-4.4204288
65,-4.149493,-4.1638556,-4.178076,-4.1920824,-4.211661,-4.223495,-4.2375374,-4.2524242,-4.2671103,-4.338473
66,-4.0685353,-4.0813117,-4.094273,-4.107233,-4.125478,-4.1363864,-4.150061,-4.1651344,-4.1803675,-4.2458053
67,-3.985941,-3.9985373,-4.0114584,-4.0241036,-4.04274,-4.05368,-4.067348,-4.08359,-4.0983925,-4.159007
68,-3.8995588,-3.9113822,-3.9234946,-3.9354486,-3.9544652,-3.964874,-3.9770174,-3.9903882,-4.003292,-4.062454
69,-3.8121214,-3.824735,-3.836763,-3.848582,-3.8661833,-3.8755896,-3.88729,-3.9006681,-3.9147835,-3.9726899
70,-3.7253072,-3.7375867,-3.74905,-3.760222,-3.7755754,-3.7842476,-3.7946448,-3.8065252,-3.8192935,-3.8773575
71,-3.6401165,-3.652934,-3.6641922,-3.675293,-3.6919441,-3.7000296,-3.710839,-3.7219067,-3.733267,-3.791121
72,-3.5534508,-3.5649042,-3.5757022,-3.5858831,-3.6007285,-3.608401,-3.6180217,-3.6287057,-3.6399035,-3.695702
73,-3.4658027,-3.4766877,-3.487101,-3.4972582,-3.513588,-3.520586,-3.5295413,-3.5397263,-3.5501068,-3.6014924
74,-3.3786259,-3.3894403,-3.4003181,-3.4106674,-3.4280353,-3.4344795,-3.4431334,-3.452916,-3.4631739,-3.5088937
75,-3.2910602,-3.3011506,-3.311036,-3.3208027,-3.335729,-3.3417978,-3.3508673,-3.36145,-3.3721795,-3.4120975
76,-3.204983,-3.214154,-3.2237144,-3.233442,-3.2475524,-3.253019,-3.2611248,-3.271187,-3.2836154,-3.3181973
77,-3.1190224,-3.1274173,-3.1365054,-3.1458714,-3.1599402,-3.1651568,-3.1729295,-3.1829872,-3.1937983,-3.2235997
78,-3.0330272,-3.0405972,-3.049144,-3.0584278,-3.0723839,-3.0775898,-3.086477,-3.0963163,-3.1058707,-3.1307929
79,-2.9463387,-2.9532506,-2.9620366,-2.9711637,-2.9845324,-2.9899344,-2.9984624,-3.0079916,-3.017238,-3.0391035
80,-2.8731418,-2.8801076,-2.8882866,-2.896606,-2.9067044,-2.9123864,-2.92219,-2.9289253,-2.9328442,-2.9317992
81,-2.7967086,-2.8035705,-2.8116698,-2.8192718,-2.8286107,-2.8382437,-2.8431566,-2.8361135,-2.8616793,-2.8501556
82,-2.7180204,-2.7246366,-2.7321446,-2.7398286,-2.7482119,-2.7560804,-2.7563605,-2.750002,-2.7694194,-2.720603
83,-2.6470578,-2.6530201,-2.659857,-2.6667306,-2.6733894,-2.6832054,-2.6784494,-2.6728916,-2.6948793,-2.622083
84,-2.5736554,-2.579643,-2.5861242,-2.592764,-2.5987,-2.6088626,-2.6095374,-2.6027312,-2.6083512,-2.5421586
85,-2.5049787,-2.5106163,-2.5165184,-2.5228214,-2.5273786,-2.5434272,-2.5435581,-2.5357296,-2.550184,-2.4409182
86,-2.4325724,-2.4368775,-2.4415984,-2.4465992,-2.4485986,-2.4651675,-2.4626417,-2.4557292,-2.4667935,-2.3458498
87,-2.3631546,-2.368482,-2.3735728,-2.3789458,-2.3806453,-2.4040668,-2.4093287,-2.4055433,-2.4031842,-2.2583694
88,-2.2904556,-2.2958667,-2.3015165,-2.3076649,-2.309794,-2.3375783,-2.3273883,-2.3153408,-2.3278928,-2.181764
89,-2.2166286,-2.2229772,-2.228832,-2.2353292,-2.235923,-2.2545593,-2.2609377,-2.2551978,-2.271342,-2.087766
90,-2.139009,-2.1433477,-2.148058,-2.1531072,-2.1512992,-2.1762254,-2.1642635,-2.1608307,-2.1777813,-1.9746381
