,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
0,-4.271666,-4.300312,-4.3292356,-4.358374,-4.387717,-4.4187,-4.449424,-4.4780464,-4.5068235,-4.545199
1,-7.028236,-7.063045,-7.0921926,-7.121116,-7.179943,-7.2431464,-7.280923,-7.255585,-7.29284,-7.3697186
2,-7.460371,-7.493239,-7.5222564,-7.551548,-7.588941,-7.6235375,-7.665044,-7.685108,-7.71564,-7.78183
3,-7.707721,-7.7769685,-7.8197646,-7.8425407,-7.8892975,-7.9569755,-8.003894,-8.136739,-8.172564,-8.205501
4,-7.922989,-7.979832,-7.962397,-8.112114,-8.133104,-8.194035,-8.25387,-8.404717,-8.436303,-8.477337
5,-8.063097,-8.123524,-8.190492,-8.291066,-8.308833,-8.342846,-8.365431,-8.420363,-8.4433565,-8.480419
6,-8.185028,-8.282969,-8.283169,-8.321905,-8.344117,-8.393666,-8.43186,-8.470501,-8.49114,-8.517788
7,-8.301672,-8.319868,-8.314766,-8.29873,-8.343189,-8.388795,-8.453037,-8.473685,-8.469693,-8.490197
8,-8.365377,-8.251103,-8.176275,-8.22191,-8.255453,-8.322735,-8.379462,-8.390945,-8.396042,-8.422117
9,-8.431758,-8.231723,-8.105434,-8.152188,-8.193724,-8.250743,-8.312566,-8.357659,-8.3824835,-8.405932
10,-8.415958,-8.269023,-8.15081,-8.182175,-8.221645,-8.274567,-8.33731,-8.395589,-8.4346895,-8.457529
11,-8.334289,-8.276749,-8.216604,-8.276863,-8.32555,-8.373061,-8.42774,-8.464403,-8.489682,-8.512841
12,-8.174409,-8.193141,-8.258496,-8.325795,-8.361421,-8.431068,-8.479424,-8.491472,-8.521122,-8.556109
13,-7.996686,-8.055325,-8.093313,-8.14574,-8.1655445,-8.195174,-8.224286,-8.294824,-8.384245,-8.40774
14,-7.7558064,-7.819181,-7.870141,-7.9190097,-7.9427104,-7.976138,-8.0048895,-8.028678,-8.093015,-8.107738
15,-7.217128,-7.3032155,-7.273636,-7.3083844,-7.334199,-7.361984,-7.382835,-7.406487,-7.4348183,-7.457473
16,-6.9881296,-7.009826,-7.042536,-7.078726,-7.099207,-7.120103,-7.142523,-7.160928,-7.189745,-7.1990027
17,-6.8256564,-6.8499374,-6.881559,-6.9160233,-6.9433913,-6.961979,-6.9877763,-7.007555,-7.036199,-7.0523324
18,-6.7141914,-6.7390275,-6.77146,-6.8058643,-6.828215,-6.853712,-6.8798957,-6.9037223,-6.931307,-6.953576
19,-6.633114,-6.6566706,-6.6865745,-6.7210965,-6.7443223,-6.7682295,-6.7936277,-6.8130198,-6.84103,-6.8635144
20,-6.5610456,-6.585858,-6.614729,-6.6481895,-6.67403,-6.694101,-6.719241,-6.737772,-6.7642565,-6.7826924
21,-6.492083,-6.5187883,-6.546595,-6.58221,-6.604642,-6.6355753,-6.6593847,-6.6851506,-6.7153335,-6.7447867
22,-6.4514027,-6.4787335,-6.507344,-6.5422115,-6.5654306,-6.5986276,-6.625222,-6.6495614,-6.680587,-6.711195
23,-6.431553,-6.457668,-6.4863243,-6.5213695,-6.5434117,-6.5745215,-6.6024837,-6.6271048,-6.6570425,-6.687427
24,-6.427879,-6.454159,-6.481019,-6.512248,-6.5368576,-6.5693145,-6.5981054,-6.621805,-6.6504574,-6.6798596
25,-6.432631,-6.4581456,-6.4840403,-6.5081043,-6.5347614,-6.570228,-6.6003275,-6.6254244,-6.655512,-6.6864777
26,-6.4332542,-6.45816,-6.484903,-6.508693,-6.534526,-6.5695343,-6.6016707,-6.6265693,-6.656418,-6.6878424
27,-6.425939,-6.4526954,-6.4836025,-6.5088754,-6.5354557,-6.572871,-6.605088,-6.634917,-6.6694,-6.7028313
28,-6.4170046,-6.443338,-6.4733787,-6.5001063,-6.527803,-6.5648146,-6.598323,-6.6279254,-6.661607,-6.69533
29,-6.3887696,-6.4153457,-6.4444146,-6.4705653,-6.498362,-6.535931,-6.571338,-6.6011386,-6.63599,-6.670767
30,-6.359753,-6.387142,-6.4168997,-6.4437356,-6.4698534,-6.5059066,-6.5413294,-6.56853,-6.598046,-6.6333246
31,-6.3281827,-6.356709,-6.3889146,-6.416667,-6.4441423,-6.481408,-6.516866,-6.546735,-6.5808306,-6.6164675
