,0,1,2,3,4
20,"[-6.479576340458509, -6.491944761528787, -6.508671313106236, -6.53155100117546, -6.558519381611761, -6.5735198599762885, -6.584052874288675, -6.603909716523406, -6.61148541332331, -6.632320351014998]","[-6.5083127567282695, -6.532214567597844, -6.56008312159393, -6.59421500616882, -6.623996900927164, -6.6443916992953795, -6.668385403763391, -6.690923333700635, -6.7168355868867415, -6.744952980961539]","[-6.539221819481045, -6.566697880616576, -6.602381356051356, -6.630551930507809, -6.649972306555301, -6.6739132571873965, -6.69339886493066, -6.719541437914759, -6.746239474034101, -6.66693432441929]","[-6.569579343142117, -6.60667465144595, -6.637425933795178, -6.654803718270863, -6.67874818930229, -6.698605931194628, -6.724960938857997, -6.751951473595703, -6.66602616274556, -6.627039416523779]","[-6.602930628037294, -6.633396031609019, -6.651957309147557, -6.678906290134629, -6.699624441838106, -6.727998571744402, -6.756487747928341, -6.662168180844029, -6.64707640399619, -6.676509684225758]"
21,"[-6.4165011018100016, -6.428680096525215, -6.44579052809205, -6.464950249302649, -6.494418729800247, -6.491599323698767, -6.520970473536738, -6.5293115400760255, -6.546019034930953, -6.565361457416304]","[-6.445806149362064, -6.473326658798791, -6.504020884601808, -6.541020020811296, -6.56725732233975, -6.5997873432621725, -6.631487462638355, -6.657865459068156, -6.690463794364072, -6.722913244707919]","[-6.4715167537182365, -6.496341546237448, -6.5327221836745535, -6.545771695844809, -6.574794614858905, -6.602128807626644, -6.6141852887198125, -6.643771868370453, -6.665557490833083, -6.585352474994937]","[-6.498583488312645, -6.535370536294861, -6.546829579544349, -6.582257023227497, -6.60799112185566, -6.629604810995145, -6.662183551264091, -6.687469016906901, -6.6081900113794045, -6.614523515717222]","[-6.537427090296576, -6.550051489101777, -6.58819713182939, -6.614554298298487, -6.643403382228741, -6.676280853526721, -6.708447323368916, -6.625519604610333, -6.632001373639384, -6.663594994416514]"
22,"[-6.375068733522631, -6.387560063095726, -6.40494246320609, -6.422732609378136, -6.451273235546387, -6.449823962229266, -6.480128299149647, -6.4891923644421245, -6.505777077454105, -6.526837667155042]","[-6.401027704658553, -6.4269070802951305, -6.4558748687381, -6.491488308715269, -6.516343698906347, -6.549304128693983, -6.5804105113023965, -6.605194955202386, -6.6364143612558095, -6.6694623763436525]","[-6.4286813976763595, -6.452503759279739, -6.486763417586576, -6.500519123725485, -6.531159239686917, -6.556961334176253, -6.573183956421803, -6.603276905469488, -6.627788207359504, -6.56217874480028]","[-6.455560484056926, -6.491715249692655, -6.507909721782065, -6.543808757414675, -6.571021829818941, -6.596014886250353, -6.629509731283045, -6.657691967760778, -6.5934707197301154, -6.597038674022636]","[-6.492429842322255, -6.502202526747371, -6.539233778684522, -6.563165643333579, -6.590579600154544, -6.622432381927157, -6.653461827977682, -6.583059012039686, -6.585426768369163, -6.614241119555319]"
23,"[-6.359615479623684, -6.3731149947548, -6.39112823738695, -6.411248226677784, -6.440683049177536, -6.439449328491249, -6.4705100371779585, -6.4801463405878925, -6.499370432952204, -6.520942564615765]","[-6.381026648849273, -6.407824394226099, -6.437826613828564, -6.473859234645987, -6.499865732088709, -6.532227675363446, -6.564819714918757, -6.590526872247482, -6.621947252124572, -6.6552349300384765]","[-6.4128842400221995, -6.436957403069632, -6.472765809839862, -6.488501965051787, -6.516669302230971, -6.547173402255671, -6.5585379563107065, -6.584771959094601, -6.612975854410129, -6.563406039012866]","[-6.4383500353850165, -6.473603761330966, -6.499288691715125, -6.5312984534956255, -6.56444484232438, -6.585446334020022, -6.619860062883023, -6.647543056444053, -6.606197948143605, -6.581349099562291]","[-6.473157896205224, -6.4950514217013495, -6.530721243947186, -6.560721472381987, -6.590383423968591, -6.622813610836305, -6.656987006320991, -6.608301552488841, -6.59140971723143, -6.618609309672751]"
24,"[-6.362334863454911, -6.379547373563859, -6.400211400524589, -6.42180418706021, -6.449868249879095, -6.459340655417058, -6.492458948106381, -6.505836004563483, -6.528198786252054, -6.553337332033428]","[-6.377760182624293, -6.403105821018649, -6.431938357209397, -6.464468098735047, -6.488764326577616, -6.5224507856421, -6.552585841646028, -6.57808613732977, -6.610265884106589, -6.643179516797495]","[-6.407816468883122, -6.432301296997632, -6.463317972753013, -6.478824898745681, -6.513048894848491, -6.537968160729672, -6.559277497377063, -6.588846475031043, -6.618622053559686, -6.582358688261176]","[-6.43385635582382, -6.466656262852495, -6.487346409686153, -6.523322357662265, -6.553470519237464, -6.577383448235934, -6.612218321167176, -6.645322651468461, -6.614096310787146, -6.6031619225221325]","[-6.467253611080962, -6.4880986312708435, -6.524626201607901, -6.5529742339930115, -6.577449534677583, -6.61085657461794, -6.640259214334804, -6.601130363189298, -6.579805665307361, -6.604811089702564]"
25,"[-6.373515153450062, -6.395633543056538, -6.41989854365318, -6.444237304997732, -6.4639351388040085, -6.492520732951452, -6.528467068594982, -6.545958634612252, -6.573307264742543, -6.602175120410611]","[-6.382726152526538, -6.406480099173586, -6.431134305062096, -6.451473656209509, -6.478738659160535, -6.514683709578912, -6.534868766652743, -6.561656463058989, -6.590744777681629, -6.619708386348884]","[-6.413463743332191, -6.438309593054814, -6.459710186276002, -6.487003967094584, -6.52366483204381, -6.545457327667041, -6.572314215752645, -6.600168883729143, -6.627689553353353, -6.605677805769606]","[-6.439378227520933, -6.463137035671821, -6.494704396877637, -6.532126640383353, -6.556101355184069, -6.587846982706537, -6.622966031957617, -6.650731192384114, -6.630634480569711, -6.634742229193648]","[-6.461219778874931, -6.491521621713456, -6.530191565522966, -6.5534712901656, -6.582332691768226, -6.617405193517026, -6.649172081271228, -6.623740828255233, -6.616681996392128, -6.649153038518545]"
26,"[-6.375385739710844, -6.3994775049953825, -6.424202591982401, -6.451387922149814, -6.472198654767788, -6.5028186373978025, -6.540265445467747, -6.560781986322916, -6.59112081198088, -6.622042012271202]","[-6.387715025254256, -6.4117161821655095, -6.436915619679457, -6.457576541610724, -6.487647995733386, -6.524497721724874, -6.542859869458443, -6.573820958294636, -6.604036914565331, -6.631436672442323]","[-6.416738854952119, -6.442478332899474, -6.461943980537318, -6.493191458515786, -6.530126955591105, -6.549614642046355, -6.5803760571851955, -6.611871293045543, -6.641156871102713, -6.632516509152912]","[-6.443561798225669, -6.464584954347043, -6.495688937868504, -6.533952895815997, -6.554654715846805, -6.585696796219377, -6.619663318883209, -6.650678118954925, -6.642351486052899, -6.640114489042713]","[-6.461549523839557, -6.492876283446157, -6.531822595367038, -6.553495265165174, -6.584392198914492, -6.617810880387032, -6.650452246511185, -6.641628159763122, -6.638287437701428, -6.669205421203578]"
27,"[-6.3742087969139725, -6.393686173628321, -6.425165059189549, -6.453076686854711, -6.474930448602191, -6.50649996675109, -6.544681305210343, -6.561055150027624, -6.597892340417257, -6.62924073650991]","[-6.378985282991699, -6.409356343586615, -6.436017050434521, -6.457711466614774, -6.488015537176898, -6.5260418886585745, -6.541273053762189, -6.577457409378758, -6.607220735427609, -6.637663310420385]","[-6.419261325395812, -6.445616666472663, -6.467500053591241, -6.499123543745984, -6.536386363453378, -6.553983278817643, -6.590405922628154, -6.620767601079454, -6.650340052566637, -6.653898589092453]","[-6.438093722826534, -6.460847233450704, -6.495828275597387, -6.534593650168472, -6.557735539070063, -6.594874768546515, -6.633113096496754, -6.662597217625671, -6.676505358918303, -6.675760497484089]","[-6.458720053582676, -6.491182024627216, -6.530248484610803, -6.549471705257185, -6.585630188732631, -6.621147844045646, -6.6532916045181825, -6.65829796953056, -6.653746245465465, -6.681410968340225]"
28,"[-6.362461800769883, -6.388813044027406, -6.4148763409713085, -6.444998611778932, -6.465879165650326, -6.49773869764896, -6.536198881537634, -6.555741551415044, -6.590109429405051, -6.621606464580613]","[-6.36872431991194, -6.394351586527569, -6.42356672120784, -6.444774102247698, -6.476605731821997, -6.514797784216149, -6.534179245881183, -6.567597327581985, -6.597559291697485, -6.628612756557209]","[-6.397449192372972, -6.426692335648352, -6.448015560177976, -6.479223993388826, -6.517340731589013, -6.537206248162204, -6.571125053582603, -6.601026276839787, -6.63205864165526, -6.6432045062686145]","[-6.423450445708935, -6.446766443503206, -6.480385996353929, -6.519131049466436, -6.539896933314507, -6.575745129910414, -6.611635217395728, -6.643052486655419, -6.655514521476929, -6.65507555014838]","[-6.441233471752489, -6.473587170959795, -6.513302919240082, -6.531999327958906, -6.567372944922531, -6.601494964928711, -6.635853220493877, -6.646630876482809, -6.6429573293024395, -6.673320844321856]"
29,"[-6.336350552687038, -6.363096868568648, -6.389608476260293, -6.418244769746054, -6.440514633381356, -6.471754480102647, -6.51113167400061, -6.53030458460151, -6.565700828978408, -6.596816074052442]","[-6.343218878658273, -6.369516745956399, -6.398271485047199, -6.4216312419639605, -6.451621674747922, -6.491072148831345, -6.511289411039807, -6.545815084876277, -6.575453067945101, -6.608976564185478]","[-6.371300679701002, -6.399775269510777, -6.423671591165097, -6.453695693122776, -6.4921904626065805, -6.51260821807626, -6.546931489440234, -6.576940064387949, -6.608865921455057, -6.624103146674664]","[-6.394703355920558, -6.419500829023366, -6.452529502403979, -6.49182617415214, -6.512942861137037, -6.54928178277338, -6.587035394576435, -6.620094697293882, -6.640027280268316, -6.641539932880607]","[-6.416749863831785, -6.448972667513874, -6.489652323483017, -6.509445195032742, -6.545362849666264, -6.580074549599078, -6.616453234984067, -6.63189529342809, -6.630255302709986, -6.657496013042976]"
30,"[-6.306499285542124, -6.333940649323814, -6.361576000147217, -6.392266590066903, -6.413728693418854, -6.444866953336351, -6.48508673711931, -6.5098323001644545, -6.539541859098428, -6.571027107455485]","[-6.31617522662267, -6.343555884936302, -6.373782376327961, -6.3957637870101625, -6.426976020017117, -6.4670946509926015, -6.492124923074096, -6.521773541846722, -6.552668821567147, -6.588926680886596]","[-6.342764520286777, -6.372995584472277, -6.395661733313658, -6.425746494173267, -6.465714127957084, -6.491044464721539, -6.520578571795681, -6.551036522924163, -6.586758003770568, -6.603961964338281]","[-6.366388349683806, -6.390209543408677, -6.42339423194699, -6.46428380057387, -6.490648143814727, -6.521436032729074, -6.55769547902219, -6.593983341829702, -6.609455371165499, -6.61147696187891]","[-6.385228231229898, -6.4168675017143455, -6.458397704788562, -6.484541283601042, -6.513473355823275, -6.547268317692992, -6.586392776721236, -6.601896566950795, -6.602434187982776, -6.629912705947258]"
31,"[-6.278178344955771, -6.301687499052017, -6.333998752301662, -6.362392521938412, -6.386626397734611, -6.417551777800648, -6.4564470383432795, -6.478013194641202, -6.513620327701895, -6.54458112782809]","[-6.284101859175126, -6.315917231582563, -6.345853707261841, -6.37033060237066, -6.400938012145917, -6.440236982398193, -6.463996684618752, -6.499646710671942, -6.529400798000853, -6.5673304483969615]","[-6.318503253778025, -6.347084170823499, -6.372145679464146, -6.401541397591635, -6.440313608070418, -6.463781571631833, -6.4984209078005994, -6.529877873753711, -6.566677416359588, -6.586441871394917]","[-6.335533307600678, -6.360433201972307, -6.394995905194343, -6.43435243490702, -6.459354474875988, -6.495958402488292, -6.533871896300377, -6.5711650249696385, -6.594748466942371, -6.599431832987727]","[-6.360362872574944, -6.392540391628165, -6.432776879612822, -6.455020323489327, -6.49177638078155, -6.5267582685691305, -6.565805118624587, -6.58800248811068, -6.590428033471573, -6.616673452407587]"
32,"[-6.247846937836933, -6.275390463979768, -6.302885948778915, -6.328318192722129, -6.356076815264153, -6.3859961061792845, -6.42386693051629, -6.451545297266769, -6.479851358668732, -6.5098279762136215]","[-6.258411057679113, -6.286058430014308, -6.31144533717459, -6.339087808890398, -6.369141549257692, -6.40664219894832, -6.436365913985427, -6.465404529510196, -6.496615762276705, -6.53362085522538]","[-6.284044685026618, -6.309787964632722, -6.336569283341976, -6.366056189125391, -6.403309103285881, -6.432432081734749, -6.460685435866925, -6.49112807232699, -6.527948908692213, -6.55464962329528]","[-6.302602329178559, -6.330381554438579, -6.360410033612358, -6.397997527270424, -6.428181956409323, -6.457712170555102, -6.491566237880694, -6.528540321512925, -6.556390848829257, -6.565650701409983]","[-6.332744573507153, -6.363360909077965, -6.4020879094336856, -6.4329256650839675, -6.460830613303624, -6.493584010082923, -6.532979066747867, -6.56185098670765, -6.568629042043977, -6.591282012670927]"
33,"[-6.216322300965179, -6.243770940238822, -6.271139523023952, -6.296893786648501, -6.32358417474686, -6.353049365813125, -6.389203397566665, -6.413450239235748, -6.44404742122649, -6.474423300484408]","[-6.228810456670581, -6.2562143291307075, -6.282568083233891, -6.309424962006269, -6.338790836833177, -6.374955306850134, -6.4022484543693645, -6.432539901785312, -6.463480501524864, -6.499891667715965]","[-6.255068117153305, -6.281485216092724, -6.3091212300178, -6.3385904741999095, -6.374352080148119, -6.402166444208879, -6.432895944785733, -6.464629472565312, -6.500749626528878, -6.536581547331471]","[-6.275013117397615, -6.302668899575659, -6.334040396193453, -6.370747935304829, -6.399114972258397, -6.4314912914283955, -6.465556049997398, -6.502997225428411, -6.538522837961503, -6.550138906853684]","[-6.302661089619912, -6.333470568454183, -6.371240239983715, -6.39646055216185, -6.427604265904344, -6.461079467481293, -6.499281213080801, -6.535806477463163, -6.542740269026078, -6.567195535099424]"
34,"[-6.183172924870468, -6.210728047842003, -6.238311268815614, -6.266152918765164, -6.292792180979467, -6.3228559665920505, -6.363497307950474, -6.387918066659785, -6.4154991586299905, -6.446819533089019]","[-6.19769245377511, -6.224765898573699, -6.252452133137288, -6.27922318867177, -6.308608943510356, -6.348051877606215, -6.374372022140326, -6.40168030923933, -6.432895827952327, -6.467205297115745]","[-6.224110574816257, -6.25144880952397, -6.278318205271751, -6.307875641976387, -6.346947902236969, -6.373052592744023, -6.399963804875404, -6.431641170178444, -6.466712897066862, -6.513600641284973]","[-6.242179589680894, -6.268464282489879, -6.2967781819026305, -6.335721629075272, -6.361401228569014, -6.387676176018579, -6.4233814965556695, -6.455316398627622, -6.503109988159998, -6.515981835647984]","[-6.267529511145743, -6.296617795966061, -6.33582156642476, -6.361784178085121, -6.385869966141375, -6.418342528186234, -6.455828377298507, -6.502798342398795, -6.514251447535547, -6.533130952409896]"
35,"[-6.145666905227924, -6.173183702412868, -6.1998376720732695, -6.228782225880647, -6.254141845289493, -6.284123031902934, -6.3216551938241965, -6.342100499678279, -6.373791153091813, -6.40624484281602]","[-6.163227274733591, -6.189779197516847, -6.218732114600945, -6.244057494866658, -6.273836031275797, -6.311165135073471, -6.33252898016851, -6.363855385872531, -6.396306866499591, -6.430686378571201]","[-6.188970941118167, -6.217704975045488, -6.243226657620833, -6.27303779218273, -6.310379364527033, -6.331156532279418, -6.3620117092497805, -6.395426687783764, -6.430327211505936, -6.490719077176617]","[-6.208174490958936, -6.2326545600150896, -6.26046936924804, -6.296783759847767, -6.315946710885055, -6.345473570406921, -6.3791918434505535, -6.407905468374975, -6.468901300460584, -6.482106672257669]","[-6.232400565863905, -6.261598316476999, -6.299746008114276, -6.319122520731149, -6.350194742427526, -6.38438009981936, -6.41483495336896, -6.476536243678389, -6.489484724113105, -6.513108170115707]"
36,"[-6.102301004182114, -6.128556693743481, -6.153685721408142, -6.182271183307781, -6.205664479013099, -6.234303113843812, -6.268136639918699, -6.2932512320834535, -6.317927782263173, -6.35018501135291]","[-6.122044349704845, -6.147392254938348, -6.1765795132713155, -6.200421186779602, -6.22955309661196, -6.263820060213073, -6.2891487112836675, -6.314114638288482, -6.3472978031830625, -6.380959682782157]","[-6.146947005568708, -6.175858551441396, -6.199944253815974, -6.228543231068815, -6.262841215162243, -6.288324123053516, -6.313233455448116, -6.345920188157524, -6.379967165915931, -6.450585244028534]","[-6.169828383038284, -6.192786143878938, -6.221186427185775, -6.254186367402316, -6.278441093648316, -6.303086153949143, -6.334852538789154, -6.3685285819419635, -6.43980674424255, -6.454593943218232]","[-6.186529485340154, -6.214053997601306, -6.248820671643054, -6.272604087199008, -6.296229427511728, -6.328019333834684, -6.359867742116487, -6.431978454644716, -6.44649096188966, -6.470215005631482]"
37,"[-6.054051217827545, -6.079608592409239, -6.104110171291576, -6.133652615565405, -6.155933852511988, -6.183490916359768, -6.217435303348647, -6.236709331366764, -6.266034432891355, -6.297363565507875]","[-6.075443311147888, -6.100181695558627, -6.130266415440042, -6.153102662899096, -6.180990946032603, -6.21581564519604, -6.236369681098063, -6.265887033679087, -6.29756681297024, -6.328573830910523]","[-6.100317913441729, -6.130677611901235, -6.153869151471924, -6.180984133257341, -6.215557546688985, -6.235225084571909, -6.264173348768424, -6.298309141172838, -6.328102081416916, -6.408225036560368]","[-6.123439566514197, -6.145102535656395, -6.1712449689421085, -6.203798593303862, -6.221965424067083, -6.248325997314158, -6.279073451927605, -6.30862401547164, -6.388890446445647, -6.406113607159558]","[-6.139945856737832, -6.167079124110678, -6.20207825254176, -6.219935979205111, -6.248298679920772, -6.279906847956518, -6.308747630077342, -6.390485267597178, -6.407288753869871, -6.430816670390705]"
38,"[-6.000799918537178, -6.025195838873424, -6.049304107193985, -6.078535906960406, -6.100797284384408, -6.127949068312683, -6.157918883477487, -6.182529831295051, -6.205920869474449, -6.234497619782724]","[-6.022180824915916, -6.04648198131755, -6.076937177593857, -6.100066551382691, -6.127019257660061, -6.157496548633128, -6.182950630228072, -6.207139655391723, -6.236575569401532, -6.265877041409761]","[-6.047248733229298, -6.078001621178646, -6.100377439520616, -6.127199825830121, -6.157949392683167, -6.183563943020363, -6.207317573017735, -6.2376961344846675, -6.2655797516920755, -6.35371258016612]","[-6.076506322195486, -6.0984288881921325, -6.125662147944525, -6.156096165945486, -6.180719155763939, -6.204559335430816, -6.234230769743875, -6.261872161125496, -6.349968928789452, -6.36867068888779]","[-6.088571444816629, -6.115079355157653, -6.145619227282444, -6.170360368408004, -6.193156546644608, -6.222374834783117, -6.252625425077716, -6.340719696797172, -6.359441759727637, -6.382540003128091]"
39,"[-5.941148430508058, -5.964822007742207, -5.9888948448267385, -6.018825078782122, -6.041319629576485, -6.068109093632977, -6.097978867989461, -6.121037342053334, -6.146931285437624, -6.175108207788746]","[-5.9643106447464165, -5.988032524094575, -6.016995914832347, -6.039888216734522, -6.06568153630256, -6.0943951481884655, -6.117836652875536, -6.1446118416196045, -6.169954805255526, -6.199548757255667]","[-5.9899939421891935, -6.021318928557611, -6.043793416801072, -6.070185109260655, -6.10055540617106, -6.123227694290853, -6.149412469226099, -6.179139671134926, -6.204761523041106, -6.298257182571269]","[-6.020909562229714, -6.042738297476968, -6.069280402257642, -6.099770988791785, -6.121670053794584, -6.147252836718759, -6.175749631121358, -6.202634637698135, -6.295752202614746, -6.312909241288504]","[-6.033880033644711, -6.060276371541296, -6.089615571427022, -6.111719030069982, -6.137216887551223, -6.164753346818363, -6.1942992034581055, -6.287285928728854, -6.305761904570137, -6.327700185703908]"
40,"[-5.881081310714828, -5.904321541692363, -5.928983874301659, -5.960625789742219, -5.984058361183154, -6.010739536638605, -6.0420413703278175, -6.061921816001879, -6.090657036434161, -6.117292714919197]","[-5.9051348859991695, -5.92930076034626, -5.959859605374541, -5.983054024594631, -6.009258284660783, -6.039862976836767, -6.060881185772624, -6.089198281484451, -6.115665159615483, -6.143473920839634]","[-5.93064859529228, -5.961531957809041, -5.9848490806409815, -6.010816609684537, -6.041990474064062, -6.061496408853839, -6.089455839444111, -6.1159311404565075, -6.14486720246465, -6.241714714292596]","[-5.96157835335384, -5.98421572619031, -6.009554659062129, -6.041581162297231, -6.060289870061975, -6.088238236540061, -6.115300980442267, -6.141398371242982, -6.237297662579518, -6.2572394246692475]","[-5.978168540841522, -6.005248693025293, -6.03708579132575, -6.0557954304130694, -6.085633845275821, -6.112674764564814, -6.142063680312218, -6.238864901682915, -6.2590543844016215, -6.281201220324816]"
41,"[-5.8169800508673575, -5.839393202206054, -5.864129099985519, -5.894907664498248, -5.918616678556361, -5.944482143958965, -5.9704722855146315, -5.998357953494349, -6.023719988753953, -6.04986652172164]","[-5.842370684947739, -5.866240855064164, -5.897087000068198, -5.921583484616051, -5.947324329744945, -5.973235079776416, -6.000379597525964, -6.027346743028532, -6.0522154716215235, -6.079984163623224]","[-5.866555574389181, -5.89613477796503, -5.919347866477451, -5.944769983218989, -5.969837310763082, -5.996199700089178, -6.021113819481811, -6.04577937632986, -6.0711083589512915, -6.169674421699724]","[-5.899651586113489, -5.921968675253904, -5.946085647715247, -5.971342909185207, -5.9971601246278645, -6.021184952033675, -6.0459446637313725, -6.075903016177929, -6.174606355873859, -6.195702609641469]","[-5.915620648651116, -5.93994389602422, -5.964636001153581, -5.990307594998471, -6.014448366476886, -6.038829387514584, -6.066323615028255, -6.165553897036903, -6.187654092325561, -6.2029739826682135]"
42,"[-5.750155292584435, -5.7720654570896786, -5.796910215302245, -5.828555688395039, -5.852685287727849, -5.878998858987228, -5.9042371624548595, -5.9291644693751495, -5.957190014554993, -5.9829146360446375]","[-5.776621830540542, -5.8017593649056, -5.833500909509901, -5.858747036087159, -5.885475569295529, -5.911636701675896, -5.937610064524058, -5.9671186663981715, -5.992693596410398, -6.022126044037584]","[-5.800227864346095, -5.830669623500295, -5.85420166391749, -5.879993282890506, -5.904699076599069, -5.929641444868036, -5.957950495815464, -5.98225561033804, -6.008383537343331, -6.107844183853455]","[-5.834218852218463, -5.85713645815499, -5.882310165088846, -5.9064249489421385, -5.930900786068513, -5.958987768735959, -5.983682174232079, -6.0093272514606255, -6.109853599217011, -6.130203727629258]","[-5.850116973851479, -5.87531045835153, -5.899850625653423, -5.924644481499351, -5.952828262109913, -5.978307638425983, -6.006434470523752, -6.106812134493746, -6.129026947651662, -6.148317273814834]"
43,"[-5.680039303915478, -5.701858142929055, -5.726859432252027, -5.756725892962791, -5.780305056439616, -5.805708030776955, -5.830111180039026, -5.857112093435504, -5.882188344912507, -5.906924160735585]","[-5.704588916004811, -5.728082284183417, -5.757785986961041, -5.782151350603614, -5.807534593940888, -5.831973040328537, -5.8598043097566705, -5.884500991405163, -5.909791095034395, -5.9377236737321955]","[-5.728815304229578, -5.75687008735033, -5.779397491479835, -5.804191999251565, -5.827559499184212, -5.854290291781148, -5.879003414998373, -5.90397056203576, -5.930739075059614, -6.02951175730916]","[-5.763043381890697, -5.786154848209066, -5.811959084740324, -5.835176980739875, -5.8633672563940715, -5.888356041780157, -5.914187951630397, -5.945265843218608, -6.045740610605521, -6.064526104053898]","[-5.776440131321271, -5.800307159155329, -5.823496577173193, -5.85006524141105, -5.874687899678667, -5.898696777254065, -5.925104536890705, -6.02616383212777, -6.045919720858057, -6.06336288790377]"
44,"[-5.607800840547738, -5.628917134514508, -5.651689703723846, -5.679754358863888, -5.702155432811437, -5.726603058314381, -5.7492951016486264, -5.774325815177021, -5.8006024650842525, -5.824381410291848]","[-5.631364996393423, -5.654125773196321, -5.682682639767628, -5.706088415195446, -5.731106010114055, -5.7549475476492455, -5.780188585479956, -5.80871021825562, -5.835909812559586, -5.85866829830895]","[-5.65331617777796, -5.680044573150589, -5.701591244317605, -5.725129049621536, -5.747401560075595, -5.7710961162820595, -5.7968078426793355, -5.825589308865382, -5.848755304120495, -5.9439115192517775]","[-5.684368680174287, -5.7070635454159335, -5.731156133989628, -5.754150151218112, -5.778386630992229, -5.804403983930881, -5.829747174809511, -5.857706774900492, -5.954829839001234, -5.975545112917955]","[-5.700208088822753, -5.723317509956748, -5.745559942416937, -5.768906353481204, -5.793797091089279, -5.817766454510481, -5.842190040715129, -5.94252211458245, -5.962680250845939, -5.977048374220819]"
45,"[-5.534942260117887, -5.555869497464656, -5.57824417773044, -5.604395948456286, -5.625756479905604, -5.649502407865285, -5.671725679294823, -5.697881657736062, -5.721097828926204, -5.745873462514638]","[-5.555652529645654, -5.576788172770234, -5.603012433919998, -5.6250163341797315, -5.648349915344211, -5.6702831263578855, -5.696438795600029, -5.719101627070399, -5.744270040366741, -5.766153541106673]","[-5.578379801117166, -5.603969071634396, -5.624700328909143, -5.648521971531495, -5.6697619544494, -5.6956563970225895, -5.718147203900203, -5.74341746849595, -5.764758958123907, -5.863981603287443]","[-5.604674006831357, -5.624391733687827, -5.646347039398262, -5.667072595116207, -5.691418190505812, -5.71273704340727, -5.735985809024879, -5.758174848761866, -5.857677874174425, -5.87571307553024]","[-5.623504290856855, -5.647075444959538, -5.6684786235321925, -5.694333348922865, -5.7168987752278015, -5.7412588545460865, -5.764942838378684, -5.865516542025344, -5.8835931127299235, -5.902549902476804]"
46,"[-5.461643406082572, -5.482438110639037, -5.503709395308674, -5.529375928346695, -5.550106492717446, -5.573622423116745, -5.595539453332008, -5.622532245595635, -5.644635799233497, -5.669660921101154]","[-5.480622986655474, -5.501167394544721, -5.526239963572264, -5.547225701015234, -5.570101065885067, -5.591423401932955, -5.617139527898074, -5.639034144904256, -5.66294262590611, -5.685984447922349]","[-5.502257393972503, -5.525547430218683, -5.544778926597463, -5.566617101730333, -5.5867100510015355, -5.61090573698424, -5.631601007954703, -5.652354186700212, -5.675121350513326, -5.77497216902815]","[-5.5294719794431355, -5.548896801624599, -5.571259918589297, -5.591344122741523, -5.615860235843959, -5.636787123013439, -5.660209552351537, -5.678851670552197, -5.779280534912052, -5.794355735149386]","[-5.546189203488109, -5.569871006163237, -5.590785733985183, -5.617785788702247, -5.640069014953849, -5.665343902634857, -5.687955649199364, -5.788392105700848, -5.804439952226756, -5.818309469709573]"
47,"[-5.38783771115955, -5.407729025368058, -5.428330774788224, -5.4524630991708865, -5.472542981986367, -5.494943614487015, -5.515994799692594, -5.54141277763661, -5.562545049373471, -5.585690747384392]","[-5.4067804723701824, -5.427031919705068, -5.4521448466650595, -5.47269865718702, -5.4960651959947695, -5.517221495854055, -5.543549202727472, -5.5643731210104574, -5.590180125432407, -5.610601812945997]","[-5.427761177114214, -5.45072862929758, -5.47025238773879, -5.492423134437765, -5.5125134499287265, -5.537097067154016, -5.558117501950826, -5.581793433568444, -5.602185531101193, -5.694451323292221]","[-5.45455304804168, -5.47433692860327, -5.496753071350076, -5.516996011984565, -5.542811448601105, -5.564071028408625, -5.588354018432119, -5.608796988529184, -5.703690362078168, -5.719120719385364]","[-5.469141329645251, -5.489986560314034, -5.50910330285046, -5.532923855825399, -5.552746201871966, -5.575373454957341, -5.596481529071068, -5.691696089699005, -5.707353894605373, -5.721723851754402]"
48,"[-5.314033984581754, -5.3338480604838585, -5.354077400083468, -5.377758962477372, -5.398528135756776, -5.418786677907035, -5.439368042538688, -5.464436999897287, -5.484885267357156, -5.508790136690066]","[-5.3314644539584535, -5.350999975003781, -5.374118536137523, -5.395685642384471, -5.416030888803782, -5.435949487038435, -5.459850018270792, -5.480278029464664, -5.503080840580644, -5.524828003146233]","[-5.353574561230673, -5.375950472704901, -5.396362446524037, -5.416055156193508, -5.435505973450674, -5.458848027787937, -5.478647074006332, -5.499593602768911, -5.520218780539764, -5.6072788818700445]","[-5.38017034627986, -5.40133094884944, -5.421307723080039, -5.441183188040972, -5.466119018425465, -5.486553124194264, -5.50982693866384, -5.530275850598931, -5.618329486851811, -5.634118343745589]","[-5.396304016075374, -5.415208446867109, -5.433999779708029, -5.457526865489126, -5.476781877762915, -5.498660714439393, -5.519010244942547, -5.607148877418877, -5.623442475757838, -5.643263596183897]"
